requested_principal,term_days,income_to_principal_ratio,credit_utilization_ratio,months_since_last_delinquency,purpose_encoding,applicant_age_years,monthly_income,employment_encoding,default
58385.7695688633,900,1.745065369443743,0.2159676927154211,47,5,43.9605698361348,8301.28925111353,0.0,0
33757.565321775844,2130,1.4629151843414254,0.6562984235550124,89,3,36.34082838594578,3686.723895757936,4.0,1
64606.94711348661,240,1.043825696632459,0.7591929050997851,10,0,45.77226245720831,5415.959964261488,0.0,1
52756.55013586325,1200,1.6448100007923596,0.1649697815981896,108,5,56.2763582768963,6556.099519815639,1.0,1
8422.03506974224,2040,0.8513770748124864,0.0434197005837368,61,5,35.19015950331997,641.7302470297109,3.0,1
73208.24284530156,2400,1.6793014013385397,0.4351915015483253,71,1,35.19035651660983,11345.655787964908,0.0,0
57443.76809629094,750,1.4579822666916162,0.7662838451325127,22,2,56.9505537860887,6262.945964328746,2.0,1
59275.72643785611,1680,0.8829003820756819,0.6442720372184012,63,0,47.20921674983491,4837.578556275116,0.0,1
10916.352001652622,600,0.8454066757108443,0.6948629032104454,0,4,32.366307368780575,773.2301503024373,3.0,0
34603.366435324184,450,1.651003600123755,0.3988109465934347,106,4,44.51072052303158,4531.839491024637,4.0,1
28753.65478109472,990,1.1015230878046045,0.2325960898005391,89,0,32.43898768625046,2371.361835876944,4.0,0
69617.22668037223,2250,1.817162220920656,0.5264610548517633,54,4,32.411242957156915,10543.728991298278,3.0,1
48824.086325928845,1770,1.664487625236211,0.2023220368117049,100,2,40.90354725879241,7250.945702416732,1.0,0
61972.978575406,1320,1.587828293661259,0.7189664100152151,97,3,18.0,8607.760398337337,1.0,1
34090.943613808835,840,1.084327263160141,0.1949967913998822,14,1,18.0,2747.953736274983,4.0,0
18202.0460511811,510,1.600733422825941,0.288350634047198,6,4,31.252549649108328,2179.1679882750964,4.0,0
42261.98184566386,810,1.8877772214178008,0.5014793305397753,30,2,25.846026555986917,6493.456154141125,3.0,0
6190.568323656887,510,0.8598718012446827,0.4818428348020599,0,5,41.77096799114329,421.79749776071145,1.0,0
62330.891141454784,600,1.1413951704042793,0.5948408826429591,68,0,27.103711093745467,5547.895561912387,4.0,0
47927.33333547177,1770,1.0316067185539128,0.4330701544949177,63,3,21.052355583976503,3903.627714586949,1.0,0
57219.448896274975,480,1.2219001612808,0.9102785754249904,64,1,55.587785227058646,6250.739897123648,4.0,1
27557.65865754533,270,1.6407991858247355,0.8315347532552163,8,5,35.29068439416157,4156.213183265188,0.0,0
72846.3047930254,1440,1.319091097710464,0.8703223167242721,110,3,38.81033845625509,7825.200639923309,2.0,0
67144.40241718153,840,1.4348767273442955,0.6232214056894031,117,4,20.90302176543852,8811.188383691386,0.0,0
58711.187034921495,1230,1.1269858656940108,0.6286578367021983,70,0,31.467407305697808,5277.66909992098,4.0,0
15805.945027119616,480,0.9195471205045208,0.6031066968787892,0,4,39.33107107651839,1204.3431595620457,2.0,0
35803.993773937014,660,1.0703203787252742,0.4305353128772416,47,0,24.18807707093237,2983.497748186396,2.0,0
4719.576785361315,1200,1.7816163614903844,0.31888494105659,86,2,42.50837622014807,724.3300547355865,4.0,0
12840.277666964765,1770,1.4729003545840924,0.5860828585743816,89,1,30.79233572097434,1757.2115840374329,4.0,1
51704.098063320416,1140,1.2035864078366805,0.0252765187670658,29,0,34.49967500248068,5314.670702619276,1.0,1
56240.01845922456,1440,1.6978871780827052,0.007381867109565,98,3,30.77952065324724,7685.88944816596,4.0,0
